R,G,B
45,43,44
33,36,43
36,38,50
32,30,33
37,37,29
36,39,30
55,56,60
52,48,62
40,34,46
43,47,46
52,58,54
50,47,54
51,33,55
40,47,39
43,49,49
38,45,51
35,44,43
45,55,44
55,63,48
50,52,47
42,39,46
45,37,48
60,50,51
73,64,57
61,52,47
56,47,50
65,60,64
62,63,55
63,68,48
63,59,56
60,56,53
69,61,59
65,55,53
65,54,52
66,55,53
58,48,46
61,56,52
70,66,63
64,64,62
62,62,62
55,55,57
51,49,54
60,55,61
67,57,66
60,50,61
40,54,57
45,55,47
53,64,47
42,59,41
29,46,40
42,45,54
59,45,60
55,40,45
52,52,44
36,46,37
43,52,49
49,54,57
57,66,65
63,68,64
59,48,46
73,42,47
66,61,65
75,71,72
77,73,70
78,78,70
89,89,79
94,94,82
101,101,89
119,116,107
131,127,118
141,134,128
152,143,136
163,150,141
172,159,143
183,166,146
189,173,148
192,175,147
194,172,151
187,165,144
177,156,137
165,148,130
155,139,123
143,130,114
132,120,106
126,114,102
128,118,109
111,101,92
103,94,87
100,93,87
90,85,79
85,82,77
79,76,71
63,62,57
63,60,55
57,57,57
56,56,64
52,50,61
60,51,56
62,54,51
50,53,42
46,59,49
37,52,49
50,55,61
63,53,61
66,50,51
45,34,30
43,40,35
36,42,42
30,41,47
50,54,63
31,38,46
32,39,47
33,37,46
35,35,45
48,42,54
64,54,65
53,41,53
47,31,44
63,45,57
58,40,52
42,31,39
37,32,36
36,40,41
38,47,46
30,40,39
33,49,48
31,44,37
37,45,34
47,44,37
51,39,41
54,36,50
54,37,55
49,39,47
45,46,38
46,53,37
32,43,27
29,38,33
37,40,45
37,35,40
43,34,35
54,40,37
41,38,49
46,40,50
40,39,45
23,35,35
20,45,39
25,51,42
29,42,35
44,40,39
53,43,44
53,44,45
48,47,45
60,56,53
63,53,52
58,44,44
48,38,36
55,52,45
46,40,42
42,37,41
53,50,57
53,54,59
52,53,58
47,46,52
36,33,42
52,41,57
62,45,63
60,39,54
59,39,51
57,39,51
51,39,49
50,45,52
51,52,56
44,50,50
74,48,61
53,38,41
36,35,31
42,46,47
52,49,58
51,40,48
53,38,43
59,48,52
29,26,33
45,46,51
41,39,40
45,37,35
53,43,44
33,28,32
21,32,26
27,50,34
58,24,41
45,29,29
25,33,20
26,47,40
32,50,50
35,44,39
52,55,38
55,59,42
33,43,35
42,51,46
46,50,36
41,42,26
40,41,36
37,37,47
35,35,45
38,36,37
44,31,14
62,45,51
44,28,55
44,31,57
35,30,36
38,33,27
32,22,23
45,34,50
39,37,48
20,32,20
25,40,9
46,46,22
51,36,33
47,34,43
39,45,45
23,47,31
25,53,41
46,44,47
62,38,54
56,42,59
30,37,43
33,45,41
32,38,24
37,42,20
31,50,22
23,47,21
34,42,31
51,38,45
49,33,46
45,39,51
25,33,36
22,32,33
54,43,37
31,31,19
25,33,20
40,42,37
40,30,38
44,31,40
42,37,41
36,42,42
34,42,45
44,41,48
47,36,40
33,27,27
28,32,33
29,37,40
33,32,38
50,39,45
26,37,43
40,40,42
56,51,48
41,41,39
30,35,38
51,48,57
56,41,46
51,42,37
45,51,41
46,56,55
49,46,57
53,43,54
57,55,58
47,56,53
44,47,54
58,46,66
43,54,48
45,55,54
42,54,54
34,45,41
37,47,38
47,54,46
52,53,48
62,56,60
67,56,62
67,52,57
59,45,45
53,41,41
62,53,54
66,62,59
61,62,54
65,72,56
51,52,44
55,55,47
64,61,54
59,51,48
52,42,40
57,49,47
58,53,50
54,50,49
42,42,40
46,51,47
52,58,54
51,57,53
52,54,51
54,54,52
53,49,48
44,38,38
40,49,58
40,42,37
50,55,33
47,58,41
42,52,53
50,47,66
55,38,57
49,37,41
44,47,38
43,56,47
37,48,50
47,56,61
49,61,57
40,52,42
57,54,47
75,53,55
57,55,58
75,74,72
79,78,74
81,81,73
91,91,79
93,94,80
103,101,89
125,123,111
133,129,120
141,134,128
149,140,133
156,146,137
166,154,140
176,163,144
183,171,147
188,174,148
190,167,149
181,160,143
169,150,133
161,144,128
150,137,121
141,129,115
132,120,108
125,115,105
119,110,101
107,98,91
99,92,86
92,89,82
82,82,74
75,78,69
68,73,66
58,65,57
52,65,56
61,70,67
59,63,64
44,48,49
44,53,48
48,64,53
39,57,43
38,51,41
49,55,51
48,42,44
54,39,42
70,50,52
65,43,45
54,38,38
48,39,40
52,50,53
34,56,53
31,41,42
42,41,47
39,38,44
37,40,45
37,40,47
54,46,57
57,36,51
55,35,47
54,44,52
45,46,48
45,45,45
42,33,34
32,22,23
33,34,29
37,50,41
25,51,52
33,46,36
44,45,29
48,43,39
44,41,50
44,42,53
50,41,44
47,35,37
48,39,42
35,44,39
31,52,33
34,51,33
39,38,43
42,29,47
37,27,35
28,30,17
34,19,26
52,38,55
44,40,55
36,51,48
19,51,30
11,42,26
36,47,49
40,34,38
53,38,33
48,37,31
32,28,29
39,36,43
43,37,37
45,37,26
35,31,22
45,45,45
59,55,43
44,43,38
52,53,57
58,63,69
51,58,64
39,43,54
36,32,55
59,45,80
70,48,86
68,41,72
69,44,66
71,50,67
52,40,54
37,36,42
40,51,45
41,58,42
62,43,65
51,37,34
41,35,21
46,44,49
43,44,65
33,40,46
41,52,35
55,58,47
35,28,44
43,29,54
51,39,39
57,50,34
45,39,39
28,23,43
39,39,47
32,36,19
60,31,51
54,33,40
36,35,30
27,46,42
25,54,50
36,53,45
51,52,38
51,49,36
34,41,33
37,53,42
41,52,36
42,43,29
45,41,40
45,43,54
39,39,51
32,33,37
46,29,13
47,41,45
30,36,60
30,38,59
38,39,41
38,31,21
19,14,11
32,29,46
31,29,51
33,30,39
43,36,28
37,30,22
26,23,30
41,38,57
49,45,60
36,26,35
41,41,41
40,36,37
45,40,44
44,48,49
44,56,54
43,56,49
36,39,32
43,40,31
46,46,36
37,45,32
29,41,29
34,43,38
38,42,43
42,41,46
30,27,36
36,33,42
50,41,32
32,27,23
22,21,17
37,34,29
42,35,29
50,40,39
44,38,42
40,40,40
48,49,44
57,52,48
50,41,44
39,29,38
43,40,47
43,42,48
37,31,43
52,39,59
42,40,43
34,34,36
44,45,47
53,55,54
58,54,53
55,43,43
59,43,44
62,50,52
51,51,49
44,50,46
44,48,47
57,55,58
60,55,62
42,39,48
36,36,44
49,52,59
38,41,46
36,42,40
42,52,44
42,53,45
37,49,45
30,41,37
26,35,30
46,48,43
59,58,54
47,38,41
38,25,34
56,44,48
71,60,58
60,51,42
52,45,37
54,49,43
61,65,50
53,55,41
59,57,45
66,62,53
61,53,50
60,55,52
66,62,61
53,53,51
53,58,54
51,60,55
48,59,51
47,57,48
48,56,45
48,51,40
45,47,34
47,47,35
47,55,68
49,44,51
52,36,36
57,43,40
57,47,48
55,42,52
61,48,58
59,58,56
38,57,38
38,63,41
43,59,46
51,60,59
36,47,51
27,45,45
53,68,65
64,69,63
61,61,61
72,71,69
78,77,72
83,83,73
89,89,77
96,94,81
107,105,92
124,120,109
131,127,118
139,132,126
146,137,130
153,144,135
161,151,139
169,161,142
176,165,143
178,168,141
184,161,147
177,155,141
167,148,133
159,141,127
148,134,121
138,126,114
128,118,108
125,115,106
116,107,100
106,99,91
93,90,83
84,84,76
74,80,70
65,75,64
60,72,60
57,71,58
43,49,49
56,52,51
69,55,54
53,44,39
36,39,32
33,46,39
37,48,42
47,48,43
39,36,29
46,48,37
45,53,42
33,43,35
35,40,36
41,37,36
45,40,37
45,40,34
27,47,38
39,50,44
54,56,55
55,55,55
51,51,53
46,45,50
47,42,48
44,37,44
42,37,41
50,51,53
42,51,46
38,43,37
40,37,32
42,33,28
49,40,33
50,43,33
27,44,36
30,42,32
34,39,33
35,36,38
33,38,42
38,43,46
39,40,35
30,26,25
32,27,31
29,30,32
41,48,41
39,47,36
42,42,40
52,50,55
45,46,50
36,42,40
45,43,48
37,29,40
31,23,34
44,46,45
31,44,34
25,43,31
47,56,53
39,38,36
50,45,41
49,49,41
32,36,35
27,27,29
39,31,29
46,35,29
41,36,30
44,46,41
33,37,23
40,42,41
47,50,59
40,42,54
36,39,46
50,50,60
54,49,71
47,37,72
46,32,68
50,36,62
58,45,62
66,55,69
50,41,60
37,35,49
47,51,54
47,54,46
47,44,53
43,39,40
41,36,33
48,43,49
39,39,49
28,38,39
41,54,45
48,57,52
40,39,45
33,25,36
46,37,40
53,48,45
52,46,48
51,39,51
62,45,55
52,30,33
50,22,37
51,27,41
39,32,40
10,31,26
8,42,28
35,55,44
48,45,40
40,33,25
26,37,21
29,51,30
37,49,35
41,40,36
45,41,42
46,47,51
40,43,52
32,32,44
34,20,7
19,27,30
0,28,42
0,25,31
25,44,25
35,44,15
20,26,12
34,36,51
49,35,71
52,20,57
60,28,52
46,38,53
17,32,51
22,32,59
51,24,55
64,3,34
59,28,34
46,45,40
36,63,44
21,46,27
39,49,40
47,49,48
39,42,49
40,38,51
53,41,55
55,44,52
35,42,35
18,45,26
21,48,29
37,47,38
33,24,29
42,24,36
48,47,42
55,44,52
49,31,45
47,35,35
34,35,19
35,37,23
36,33,28
51,40,34
57,49,30
30,29,9
24,26,21
37,34,45
48,34,51
43,25,41
36,22,48
46,38,77
52,38,37
40,41,43
37,48,52
52,53,55
61,47,44
44,27,20
50,39,37
48,38,46
38,28,36
46,45,41
45,55,44
44,50,46
48,40,53
48,30,52
37,34,45
28,44,41
46,38,51
45,43,44
48,54,44
38,50,40
32,47,44
28,46,46
24,41,35
38,52,39
52,60,49
48,48,50
43,35,46
58,45,54
61,48,42
54,40,29
64,49,42
67,51,52
61,66,46
41,44,27
43,44,30
69,67,55
61,56,50
47,42,39
56,55,53
50,52,49
45,51,47
41,52,46
39,52,42
47,59,47
54,65,49
51,58,40
48,53,33
58,59,41
39,48,63
66,53,73
65,32,53
66,28,39
62,32,32
59,38,35
68,58,56
50,61,53
42,74,50
35,71,33
48,67,37
48,51,44
44,50,64
47,66,83
43,71,74
51,81,69
78,78,78
72,72,70
76,75,70
81,81,71
84,84,72
96,94,81
107,105,92
112,108,97
126,122,113
135,128,122
144,137,129
153,144,135
160,152,139
166,158,139
168,160,137
168,161,135
180,157,143
175,153,140
166,147,133
158,140,128
144,130,119
129,117,105
118,108,98
114,105,96
111,102,95
105,98,90
93,90,83
85,86,78
79,87,76
67,79,67
53,69,56
48,66,52
59,48,56
49,24,30
63,27,27
67,38,34
54,40,37
47,47,47
50,45,49
52,40,40
59,50,41
37,51,28
17,53,27
8,53,33
29,65,55
32,51,45
37,42,35
38,39,25
25,30,23
40,52,42
46,59,50
54,59,55
52,46,46
55,44,48
41,41,43
33,45,43
36,53,47
31,42,36
29,31,26
41,44,35
46,49,38
37,38,24
49,35,24
68,41,34
48,51,32
38,47,44
27,41,50
23,37,40
33,39,35
46,48,43
41,47,45
24,34,33
28,34,30
40,36,37
48,35,45
25,18,25
24,30,20
38,52,35
31,42,38
40,41,59
22,35,43
30,31,33
45,33,33
52,37,42
54,44,52
47,48,43
36,42,28
41,47,35
37,43,41
37,49,49
39,50,42
45,47,36
65,53,53
54,39,46
44,38,38
46,50,35
35,41,39
38,41,50
47,46,64
47,44,61
42,39,46
51,46,50
54,50,64
41,37,60
46,44,68
52,54,67
59,62,67
63,63,73
51,48,69
54,45,72
69,57,77
58,46,56
45,53,40
41,44,53
41,40,58
47,47,49
37,39,25
31,33,30
45,47,62
42,49,59
41,51,40
27,38,22
36,39,44
32,27,47
47,36,44
54,35,28
60,29,34
68,28,55
61,31,43
59,31,53
47,40,56
17,39,36
10,48,27
39,57,45
50,44,46
47,42,39
34,48,25
24,47,19
34,44,33
50,43,50
43,41,44
27,33,29
26,31,35
37,32,54
36,37,21
32,36,19
27,36,19
26,36,27
31,36,39
30,28,39
48,40,51
45,36,37
43,39,28
37,44,28
29,45,34
25,46,47
25,45,54
21,38,48
21,32,34
28,34,30
45,27,41
35,26,31
48,43,40
42,31,29
41,25,26
54,48,52
35,45,44
14,31,21
26,43,25
34,52,28
22,44,21
29,46,28
47,42,36
62,34,33
57,20,14
67,33,21
55,31,45
53,25,39
65,33,46
60,30,38
49,31,31
44,39,35
37,36,32
45,35,36
47,26,35
59,28,43
59,32,47
55,39,49
50,45,49
38,37,35
35,30,26
46,35,31
38,38,38
45,45,35
41,40,22
42,40,28
45,39,41
41,34,42
45,36,37
48,41,33
41,37,28
50,44,46
51,46,53
47,45,48
53,55,44
46,50,35
34,40,30
46,50,51
65,57,44
65,50,45
58,35,43
54,31,47
51,40,54
35,43,45
27,47,36
43,56,38
62,56,40
60,40,31
64,39,35
58,40,40
41,36,33
49,52,45
47,55,42
55,63,48
57,64,56
40,50,41
39,56,46
42,70,58
36,57,50
47,48,50
53,38,45
71,55,65
52,42,50
58,43,50
64,41,49
53,41,43
51,67,57
39,76,58
38,69,51
37,51,38
47,42,39
54,55,47
45,53,38
45,47,33
60,50,38
74,60,51
58,49,44
59,61,60
41,44,51
55,51,65
62,51,67
59,54,61
43,49,45
46,57,40
70,74,49
71,65,39
48,65,55
69,71,66
74,63,61
96,80,80
101,98,91
84,96,82
92,111,92
105,113,98
123,115,104
140,121,114
145,132,123
141,143,129
141,154,136
147,155,140
162,153,144
176,155,150
170,163,137
173,156,136
169,150,133
152,140,124
130,131,115
119,125,111
117,114,105
114,98,98
110,92,92
101,89,89
90,87,82
90,85,81
85,71,68
73,62,56
66,66,54
54,67,50
32,75,68
48,53,47
63,39,37
54,42,42
33,44,40
48,60,50
54,57,40
49,57,42
35,61,52
32,52,50
54,50,47
53,39,36
37,48,44
13,48,44
22,45,39
44,39,33
35,16,46
54,37,56
57,53,54
44,57,39
47,63,36
70,65,43
75,51,39
53,34,27
52,55,44
37,55,39
40,51,35
44,42,30
48,45,38
46,42,41
43,27,38
67,35,56
23,45,42
30,33,42
47,35,45
51,53,42
37,57,30
28,49,32
28,38,40
25,30,36
32,41,36
36,42,32
35,27,25
38,29,32
32,39,31
39,53,38
42,37,41
51,22,50
27,46,63
45,40,37
64,37,20
60,33,24
53,36,42
53,37,47
57,36,35
65,45,44
38,35,42
25,35,45
24,33,32
50,48,33
60,57,38
50,52,41
48,57,52
41,53,49
25,57,46
50,64,51
61,56,52
56,48,63
39,45,71
35,56,75
44,63,77
29,37,60
54,56,97
60,69,112
56,77,106
50,71,92
54,60,92
62,51,93
67,50,84
68,54,71
42,60,80
40,38,59
51,34,52
61,52,57
42,53,47
28,48,39
42,46,45
48,35,44
50,39,47
37,47,46
31,59,45
27,49,36
27,28,22
55,46,47
43,47,48
22,44,42
30,35,31
45,49,60
37,43,59
40,44,45
55,51,39
57,44,35
54,37,43
54,41,51
49,47,50
41,47,43
35,39,38
31,30,25
50,43,24
44,38,16
37,29,27
28,20,43
42,45,26
41,45,31
40,45,39
53,57,58
44,48,49
33,32,30
38,33,27
42,37,31
38,35,30
33,37,36
30,41,43
30,45,48
25,43,45
18,32,33
17,27,28
25,31,31
48,32,45
38,32,36
46,45,41
44,36,33
46,34,36
50,45,49
25,33,35
10,21,15
20,23,12
37,40,23
37,46,27
37,43,31
42,34,31
47,26,25
49,24,17
58,41,25
63,51,61
30,17,26
34,23,29
50,41,42
36,35,30
29,32,25
31,36,30
33,33,31
31,22,27
52,39,48
58,45,55
49,39,47
43,41,44
41,41,39
37,38,33
35,36,30
46,44,45
55,51,42
51,45,31
42,40,28
38,36,37
45,40,47
54,45,46
44,40,31
35,35,25
37,35,36
48,43,50
56,51,55
52,54,43
47,54,38
43,46,39
30,30,32
51,38,29
55,44,38
58,44,44
53,32,39
55,40,47
42,48,46
20,46,33
42,60,44
55,47,36
63,38,33
62,42,35
53,44,37
47,42,36
59,54,50
49,52,45
40,56,45
54,51,46
54,55,50
40,47,40
34,43,38
49,58,55
58,60,59
44,35,40
58,35,45
71,41,53
72,44,56
56,41,46
50,46,45
45,46,41
49,54,47
41,51,40
39,55,42
61,63,58
58,57,52
39,36,29
58,56,44
59,57,45
45,41,30
51,42,37
55,49,49
53,52,57
42,42,50
55,52,61
65,63,68
52,54,51
56,62,50
68,71,52
48,47,26
44,55,47
62,64,59
76,68,65
95,85,83
100,97,90
90,98,85
97,110,93
107,113,99
128,122,110
139,126,117
142,132,122
139,140,126
141,147,133
148,152,138
161,154,144
174,159,152
172,161,139
169,157,135
166,150,134
150,141,124
134,131,116
124,124,112
119,115,106
113,102,100
110,96,95
107,95,95
98,90,87
95,87,84
90,81,76
84,77,69
75,75,65
57,63,51
38,66,52
51,46,50
63,35,47
62,44,44
45,47,34
52,55,44
53,48,45
55,54,50
28,40,28
40,47,39
64,53,59
51,35,46
30,34,35
18,40,28
39,48,43
66,50,60
51,38,56
45,33,45
50,41,42
63,63,51
66,68,47
59,54,32
58,47,29
64,52,36
50,44,30
40,36,25
47,44,35
48,48,40
43,48,41
42,44,41
46,31,38
60,28,43
30,51,46
37,38,42
38,27,33
30,29,27
27,40,31
28,45,35
29,40,32
27,34,27
36,43,36
54,56,51
44,35,36
34,28,28
38,42,41
40,51,47
33,28,34
49,22,37
42,38,61
46,38,36
51,40,18
53,37,24
55,38,44
52,39,48
46,35,33
54,39,36
55,39,50
35,28,44
30,35,38
35,46,29
43,46,27
47,47,37
38,43,39
20,35,30
40,49,48
49,54,47
45,50,44
36,47,53
27,46,63
39,60,81
60,75,96
57,61,96
62,68,118
62,79,131
60,88,127
62,85,117
68,73,111
71,66,107
66,63,92
55,61,73
55,62,88
45,47,68
57,55,68
55,54,59
41,43,40
36,41,37
37,37,37
40,38,43
45,44,49
30,36,36
40,53,46
41,54,44
47,54,47
42,47,43
42,47,50
41,50,55
33,38,32
45,50,56
41,47,59
41,45,48
44,41,34
44,30,29
48,31,39
48,37,43
37,38,32
38,46,35
29,35,33
23,21,24
46,39,33
63,55,42
57,52,46
41,38,45
35,39,22
37,40,31
35,34,39
48,45,52
38,34,33
31,29,16
31,30,10
37,38,22
30,30,30
32,34,46
31,37,53
26,35,44
24,34,35
26,35,30
32,41,36
40,46,44
44,27,43
43,38,44
51,53,48
49,48,43
52,46,46
45,44,49
27,32,36
34,36,35
45,36,31
50,36,27
46,39,29
40,37,32
50,40,41
55,39,39
51,42,33
42,45,26
39,36,43
44,45,49
30,39,36
32,45,38
42,55,46
31,41,32
25,30,24
38,40,37
36,37,39
40,39,44
40,35,42
42,32,41
47,38,43
47,43,44
41,42,37
35,42,34
30,24,26
46,37,32
56,46,36
47,43,34
27,27,29
30,27,34
47,43,44
41,41,33
45,48,39
38,42,41
34,31,40
43,38,42
40,40,32
39,41,28
50,49,44
48,38,46
53,40,34
39,32,24
59,52,44
60,42,38
46,32,29
47,57,49
35,63,51
37,57,46
50,40,38
68,43,39
69,52,42
63,60,45
55,53,40
56,49,43
36,38,35
27,43,40
49,39,38
42,38,35
45,45,43
46,45,43
55,55,53
54,60,58
54,54,54
67,46,53
68,30,43
67,40,49
45,44,42
39,49,41
43,35,33
52,32,33
43,34,29
37,51,38
36,47,41
42,41,39
44,34,33
67,62,58
58,61,52
41,47,37
51,48,43
50,38,38
53,47,47
50,54,53
47,56,55
52,56,55
70,69,67
71,68,63
58,59,51
65,71,59
64,69,63
71,72,66
81,80,75
90,87,80
87,87,79
87,90,79
97,101,87
105,107,94
116,114,102
126,122,110
134,130,119
139,137,125
144,144,132
150,148,136
155,151,140
164,157,147
173,158,139
165,154,134
155,150,130
146,140,124
138,128,116
132,122,113
123,114,107
110,105,99
103,98,94
99,88,86
95,81,80
94,83,81
77,72,68
58,58,50
63,60,53
68,63,57
50,61,47
59,48,54
68,44,57
71,53,51
60,54,38
52,49,40
40,34,38
45,39,43
62,59,52
54,49,43
54,42,52
39,30,47
37,41,44
42,52,43
55,51,50
66,45,60
65,54,60
51,42,45
52,40,40
69,54,49
80,63,53
69,62,43
63,62,34
72,65,39
81,60,43
70,43,36
65,50,47
54,54,52
41,47,45
44,44,42
50,36,35
49,28,27
22,34,32
42,41,37
48,38,39
35,27,38
24,28,40
24,36,34
32,43,26
41,48,30
38,41,34
38,36,37
40,31,32
43,37,37
34,37,44
36,40,51
42,35,42
50,31,27
68,35,66
48,38,36
37,41,16
36,34,19
45,34,38
46,39,46
38,37,32
49,39,37
58,31,46
48,24,46
51,50,55
37,54,36
30,42,22
44,44,36
43,45,44
34,49,46
57,44,54
55,51,50
42,55,48
31,57,56
28,56,68
43,63,87
66,74,110
67,70,123
65,76,142
63,90,157
70,107,162
77,108,154
79,96,142
82,91,134
76,91,120
65,91,104
67,63,98
45,52,78
49,66,76
42,52,54
41,35,37
52,40,44
42,37,41
37,47,48
25,35,36
40,41,43
62,56,56
48,49,44
35,51,41
27,46,40
38,46,49
49,43,55
33,35,30
36,41,44
38,45,51
42,45,50
40,35,39
43,30,39
56,40,51
52,44,42
27,31,16
33,44,27
35,44,39
44,42,53
46,39,47
41,36,33
34,34,24
41,45,31
28,33,26
41,41,39
38,33,37
36,27,30
32,23,18
40,34,18
36,38,16
33,37,20
32,37,33
39,41,53
39,38,56
27,24,41
21,20,28
30,32,29
36,42,32
33,41,26
32,18,33
35,33,38
40,45,41
45,44,40
53,47,49
42,39,46
28,31,38
50,48,51
57,41,41
50,31,27
44,33,29
32,26,26
36,25,31
35,23,27
38,35,28
27,36,19
18,13,19
32,36,39
27,42,37
25,45,36
32,45,36
41,43,38
50,46,43
42,38,39
47,47,49
41,42,46
39,34,41
45,29,40
55,33,45
55,38,46
45,39,39
37,39,34
45,28,34
37,23,22
41,31,22
49,42,36
38,33,37
35,34,40
45,47,46
35,40,33
42,47,40
51,55,56
37,37,45
48,46,51
58,55,50
44,40,31
52,44,42
65,54,62
56,53,46
41,32,23
56,44,32
53,44,29
33,34,18
40,54,39
40,60,51
29,44,39
47,46,44
59,45,42
59,42,32
62,50,34
53,50,33
44,47,38
34,40,40
42,51,56
48,42,42
43,43,41
50,55,51
43,49,45
37,46,41
33,46,39
43,52,47
47,43,42
52,37,40
56,48,46
52,62,54
42,55,46
50,51,45
45,34,32
44,34,32
37,38,32
29,38,37
27,29,28
46,42,43
54,48,50
41,41,39
44,50,46
51,53,48
56,48,45
56,45,43
41,40,35
41,54,44
45,58,49
58,54,53
66,54,58
57,55,58
60,72,72
70,69,64
68,69,63
78,81,72
80,83,74
79,81,70
91,91,81
105,103,91
110,110,98
109,109,97
117,119,106
125,125,113
133,131,119
142,138,127
146,142,133
148,145,136
153,153,143
170,154,138
157,152,132
147,149,128
142,139,122
139,125,114
137,118,111
123,112,106
107,107,99
98,98,90
95,85,83
95,79,79
94,82,82
70,69,65
49,51,46
60,55,51
77,61,61
52,51,47
54,51,46
55,50,44
55,48,42
52,47,41
39,42,35
24,31,23
33,35,32
48,42,46
43,33,41
34,37,42
22,36,37
22,36,37
30,35,39
38,31,38
48,35,42
64,50,41
68,58,49
75,60,55
81,56,52
87,60,53
88,73,54
84,77,48
85,68,40
104,69,50
91,57,48
71,56,53
54,54,54
54,48,52
64,48,49
58,48,39
41,44,27
24,28,29
31,27,24
41,29,29
42,30,44
32,27,47
27,32,35
30,39,22
30,38,17
37,36,31
32,26,30
38,32,34
42,40,41
30,30,40
34,33,49
46,39,46
47,32,25
69,28,58
51,35,35
35,40,17
27,34,16
34,32,33
40,35,41
36,35,31
46,41,38
54,34,46
47,24,44
45,34,42
36,42,30
35,48,31
42,52,44
41,47,47
38,46,48
49,35,48
46,44,49
43,53,54
41,62,65
43,65,79
53,68,101
70,77,129
77,84,154
88,105,187
86,119,200
90,134,205
92,138,197
91,128,181
91,117,166
85,106,149
75,95,132
75,68,112
49,60,90
38,64,77
34,49,54
50,39,47
68,47,54
55,46,51
39,51,51
43,57,57
47,42,46
46,29,35
53,44,45
39,54,47
34,57,51
32,39,45
52,38,55
43,43,43
34,38,37
34,43,40
42,48,48
39,36,43
45,33,47
56,42,55
43,37,37
51,58,42
33,46,26
20,31,23
43,43,53
51,47,62
45,40,46
33,35,22
44,52,28
11,16,20
33,33,35
48,40,38
39,25,22
46,33,27
50,41,34
45,45,35
34,42,29
35,45,34
39,44,40
43,40,51
40,31,52
36,24,44
39,34,40
41,43,30
34,43,16
40,26,41
33,31,36
31,31,29
42,37,34
59,47,51
49,39,48
29,29,37
42,41,46
57,47,48
44,33,29
39,36,31
32,32,32
35,28,36
35,19,29
39,27,29
26,26,18
42,32,40
40,41,43
26,37,33
30,45,38
40,50,42
41,40,36
49,40,41
49,43,45
37,35,38
48,47,53
56,49,57
52,34,46
50,26,39
53,33,42
45,36,39
29,29,29
58,32,43
43,29,29
40,33,25
49,39,37
43,32,38
37,34,41
41,51,50
36,47,39
43,48,42
56,56,58
34,37,42
34,39,42
49,45,42
48,32,32
60,44,47
67,57,65
45,57,43
68,55,46
61,37,27
50,45,26
43,61,37
35,53,37
39,44,38
38,42,41
33,44,40
46,49,42
56,37,30
68,41,32
56,50,36
38,56,42
29,44,41
39,36,45
33,31,32
52,54,53
41,52,48
18,38,29
37,57,48
49,60,52
50,55,49
36,47,39
22,40,28
32,48,37
46,53,45
40,45,38
43,55,45
40,52,42
51,46,42
59,34,37
46,45,50
32,37,40
41,49,51
50,48,53
45,39,43
45,45,45
46,53,46
45,48,39
63,56,48
53,49,38
51,59,46
51,65,52
63,63,61
68,56,66
54,48,60
51,59,70
68,65,58
65,65,57
76,77,69
81,82,74
83,83,73
95,92,83
104,101,92
108,106,94
115,115,103
119,121,108
121,121,109
125,122,113
132,129,120
138,135,126
144,144,134
152,154,143
163,154,139
153,152,134
144,147,128
141,138,123
141,122,115
137,114,108
122,109,101
104,104,94
88,89,81
94,89,85
94,83,81
89,79,78
75,74,70
67,67,65
72,62,63
68,45,51
63,51,55
55,59,44
48,60,38
45,46,38
51,46,50
45,52,45
36,55,36
50,60,51
39,28,42
39,28,45
27,41,41
17,49,36
28,50,47
50,49,63
50,40,49
44,39,35
64,41,23
79,62,44
96,77,63
103,73,63
100,66,54
99,68,48
99,73,46
108,74,49
107,69,50
99,71,60
70,59,55
55,46,49
67,44,52
73,44,48
49,45,33
20,46,17
44,37,44
31,22,27
42,31,37
54,41,50
39,29,38
27,27,29
30,37,29
32,35,28
43,38,35
54,43,47
47,41,43
35,35,35
36,37,41
36,33,40
37,27,35
40,29,33
50,21,41
50,32,32
46,43,24
37,41,26
36,38,37
41,36,42
41,32,33
42,41,37
43,44,49
46,38,53
41,21,32
45,31,30
43,51,40
26,47,38
25,39,39
37,36,42
44,49,55
45,49,58
51,55,66
59,62,77
63,69,95
69,77,124
80,93,161
95,113,195
115,139,225
122,154,237
127,171,244
126,180,242
121,176,230
115,156,210
100,120,183
84,86,160
80,80,132
62,74,114
43,63,87
42,54,66
57,49,60
66,50,60
58,48,56
38,42,45
38,41,46
49,42,49
50,35,40
51,42,43
31,40,37
27,41,41
36,39,46
59,48,64
43,40,49
33,35,34
32,39,31
42,47,41
39,37,42
43,32,46
52,40,54
38,33,39
40,47,40
29,43,30
13,25,15
25,29,30
40,37,46
49,47,52
34,40,30
31,43,19
14,19,23
31,31,31
51,43,40
45,30,27
50,34,34
39,29,30
31,31,29
29,39,28
39,52,35
30,36,24
35,33,34
47,34,51
44,29,50
42,32,41
48,46,34
50,54,29
42,30,44
35,30,36
32,31,29
48,36,36
62,41,48
50,34,45
32,29,40
31,32,37
40,40,38
31,34,27
30,41,35
34,46,46
45,42,51
55,35,47
57,34,42
45,29,29
30,30,32
39,43,42
24,33,30
25,36,30
38,47,42
22,28,24
15,17,14
36,38,37
29,33,34
35,39,42
43,42,48
40,37,44
35,30,37
36,34,39
36,40,41
28,37,36
46,16,28
51,36,39
50,45,41
52,40,40
47,30,38
36,33,40
36,48,46
36,49,42
32,32,30
42,37,41
34,39,43
34,42,44
40,36,35
54,34,36
60,41,47
37,30,37
29,48,28
65,52,43
63,35,31
56,52,40
46,69,49
36,54,40
51,50,45
48,49,44
14,31,21
43,53,44
66,47,43
76,42,43
53,44,37
37,57,46
35,52,46
